name,vehicleModelDate,value_mileage,model,bodyType,fuelType,seatingCapacity,color,price,addressLocality,addressRegion,transmision
Hyundai,2023,32500,Stargazer,MPV,Petrol,7,Abu-abu,185000000,Jakarta Pusat,Jabodetabek,AT
Toyota,2013,117000,Avanza,MPV,Petrol,7,Putih,130000000,Bandung,Jawa - Bali,MT
Lexus,2018,26000,NX 300,SUV,Petrol,5,Hitam,570000000,Bandung,Jawa - Bali,AT
Chevrolet,2019,35000,TRAX,SUV,Petrol,5,Merah,197000000,Bandung,Jawa - Bali,AT
Hyundai,2022,17000,Stargazer,MPV,Petrol,7,Putih,232000000,Bandung,Jawa - Bali,AT
BMW,2023,3000,M2,Coupe,Petrol,4,Hitam,1825000000,Jakarta Utara,Jabodetabek,MT
Honda,2018,87500,Mobilio,MPV,Petrol,7,Putih,175000000,Malang,Jawa - Bali,AT
Toyota,2024,17500,Kijang Innova Zenix,MPV,Petrol,8,Hitam,469000000,Tangerang,Jabodetabek,AT
Hyundai,2022,32500,IONIQ 5,SUV,Electric,5,Abu-abu,455000000,Jakarta Utara,Jabodetabek,AT
Mercedes-Benz,2013,47500,E250,Coupe,Petrol,4,Merah,499000000,Jakarta Barat,Jabodetabek,AT
Suzuki,2024,12500,Grand Vitara,SUV,Hybrid,5,Putih,308000000,Bekasi,Jabodetabek,AT
Honda,2022,32500,City,Hatchback,Petrol,5,Abu-abu,219000000,Jakarta Selatan,Jabodetabek,AT
Honda,2022,32500,City,Hatchback,Petrol,5,Abu-abu,219000000,Jakarta Selatan,Jabodetabek,AT
Chery,2023,2500,Omoda 5,SUV,Petrol,5,Putih,279000000,Jakarta Utara,Jabodetabek,AT
Honda,2019,60000,Brio,Hatchback,Petrol,5,Merah,147500000,Bandung,Jawa - Bali,AT
Toyota,2012,121000,Fortuner,SUV,Diesel,7,Hitam,257000000,Bandung,Jawa - Bali,MT
Mercedes-Benz,2015,26000,GL400,SUV,Petrol,7,Hitam,787500000,Bandung,Jawa - Bali,AT
Toyota,2023,42000,Kijang Innova Zenix,MPV,Petrol,7,Putih,538000000,Bandung,Jawa - Bali,AT
Honda,2022,31000,City,Hatchback,Petrol,5,Abu-abu,235000000,Bandung,Jawa - Bali,AT
Toyota,2024,14000,Fortuner,SUV,Diesel,7,Hitam,570000000,Bandung,Jawa - Bali,AT
Toyota,2013,160000,Rush,SUV,Petrol,5,Silver,140000000,Bandung,Jawa - Bali,AT
KIA,2014,85000,Rio,Hatchback,Petrol,5,Abu-abu,130000000,Bandung,Jawa - Bali,AT
Honda,2021,14000,City,Hatchback,Petrol,5,Merah,238000000,Bandung,Jawa - Bali,AT
BMW,2014,68000,320i,Sedan,Petrol,5,Putih,285000000,Bandung,Jawa - Bali,AT
Toyota,1997,185000,Corolla,Sedan,Petrol,5,Abu-abu,60000000,Bandung,Jawa - Bali,MT
Toyota,2019,66000,Alphard,MPV,Petrol,7,Putih,805000000,Bandung,Jawa - Bali,AT
Toyota,2011,109000,Avanza,MPV,Petrol,7,Hitam,105000000,Bandung,Jawa - Bali,MT
Honda,2021,56000,City,Hatchback,Petrol,5,Merah,235000000,Bandung,Jawa - Bali,AT
Mercedes-Benz,2017,37500,GLE400,SUV,Petrol,5,Hitam,525000000,Jakarta Utara,Jabodetabek,AT
Honda,2013,80000,Brio,Hatchback,Petrol,5,Putih,120000000,Bandung,Jawa - Bali,AT
Toyota,2017,52500,Kijang Innova,MPV,Petrol,8,Hitam,235000000,Jakarta Selatan,Jabodetabek,AT
Chevrolet,2017,77500,Captiva,SUV,Diesel,7,Putih,220000000,Tangerang,Jabodetabek,AT
Mercedes-Benz,2013,79000,B200,Hatchback,Petrol,5,Hitam,168500000,Bandung,Jawa - Bali,AT
Suzuki,2018,70000,Ignis,SUV,Petrol,5,Merah,126000000,Bandung,Jawa - Bali,MT
Toyota,2009,105000,Vellfire,MPV,Petrol,7,Hitam,237500000,Bandung,Jawa - Bali,AT
Toyota,2019,30000,Camry,Sedan,Petrol,5,Silver,382000000,Bandung,Jawa - Bali,AT
Daihatsu,2019,27500,Sigra,MPV,Petrol,7,Putih,99000000,Tangerang,Jabodetabek,MT
Toyota,2021,62500,Raize,SUV,Petrol,5,Abu-abu,175000000,Tangerang,Jabodetabek,AT
Suzuki,2022,67500,XL7,SUV,Petrol,7,Putih,210000000,Depok,Jabodetabek,AT
Volkswagen,2021,32500,Tiguan,SUV,Petrol,5,Hitam,338000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2022,52500,Creta,SUV,Petrol,5,Putih,280000000,Jakarta Selatan,Jabodetabek,AT
BMW,2023,12500,430i,Convertible,Petrol,4,Hijau,1475000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2021,42500,Rush,SUV,Petrol,7,Hitam,198000000,Tangerang,Jabodetabek,AT
Toyota,2021,87500,Avanza,MPV,Petrol,7,Abu-abu,175000000,Surabaya,Jawa - Bali,AT
Toyota,2014,162500,Kijang Innova,MPV,Diesel,8,Hitam,245000000,Surabaya,Jawa - Bali,AT
Toyota,2017,102500,Vellfire,MPV,Petrol,7,Hitam,523000000,Tangerang,Jabodetabek,AT
Daihatsu,2023,17500,Sigra,MPV,Petrol,7,Putih,117000000,Bekasi,Jabodetabek,MT
Mazda,2018,77500,CX-3,SUV,Petrol,5,Putih,240000000,Tangerang,Jabodetabek,AT
BMW,2020,17500,X7,Wagon,Petrol,7,Hitam,1250000000,Jakarta Selatan,Jabodetabek,AT
Honda,2014,92500,Jazz,Hatchback,Petrol,5,Hitam,158000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2019,92500,Fortuner,SUV,Diesel,7,Putih,389000000,Jakarta Utara,Jabodetabek,AT
Toyota,2019,92500,Fortuner,SUV,Diesel,7,Putih,389000000,Jakarta Utara,Jabodetabek,AT
Toyota,2019,92500,Fortuner,SUV,Diesel,7,Putih,389000000,Jakarta Utara,Jabodetabek,AT
Honda,2021,67500,Mobilio,MPV,Petrol,7,Putih,160000000,Tangerang,Jabodetabek,AT
Toyota,2023,7500,Alphard,MPV,Hybrid,7,Hitam,1375000000,Jakarta Selatan,Jabodetabek,AT
Honda,2024,7500,Brio,Hatchback,Petrol,5,Putih,165000000,Jakarta Pusat,Jabodetabek,AT
Suzuki,2023,27500,S-Presso,Hatchback,Petrol,4,Putih,126000000,Tangerang,Jabodetabek,AT
Toyota,2022,37500,Agya,Hatchback,Petrol,5,Silver,147000000,Jakarta Timur,Jabodetabek,AT
Toyota,2010,122500,Alphard,MPV,Petrol,7,Hitam,163000000,Jakarta Barat,Jabodetabek,AT
Toyota,2023,42500,Hiace,Van,Diesel,16,Silver,475000000,Jakarta Barat,Jabodetabek,MT
Suzuki,2023,27500,Ertiga,MPV,Hybrid,7,Putih,207000000,Bogor,Jabodetabek,AT
Suzuki,2023,22500,S-Presso,Hatchback,Petrol,4,Merah,126000000,Cikarang,Jawa - Bali,AT
Daihatsu,2015,132500,Xenia,MPV,Petrol,7,Silver,110000000,Surabaya,Jawa - Bali,MT
Daihatsu,2020,57500,Sigra,MPV,Petrol,7,Putih,123000000,Surabaya,Jawa - Bali,MT
Toyota,2022,22500,Rush,SUV,Petrol,7,Hitam,247000000,Surabaya,Jawa - Bali,MT
Honda,1998,202500,Accord,Sedan,Petrol,5,Hijau,39000000,Mojokerto,Jawa - Bali,MT
Suzuki,2021,72500,XL7,SUV,Petrol,7,Abu-abu,209000000,Surabaya,Jawa - Bali,MT
Honda,2017,82500,HR-V,SUV,Petrol,5,Silver,208000000,Surabaya,Jawa - Bali,AT
Toyota,2019,67500,Calya,MPV,Petrol,7,Silver,128000000,Surabaya,Jawa - Bali,MT
Honda,2017,102500,HR-V,SUV,Petrol,5,Abu-abu,160000000,Jakarta Selatan,Jabodetabek,AT
Honda,2017,82500,Brio,Hatchback,Petrol,5,Hitam,119000000,Surabaya,Jawa - Bali,MT
Toyota,2021,52500,Avanza,MPV,Petrol,7,Hitam,195000000,Surabaya,Jawa - Bali,AT
Toyota,2021,57500,Fortuner,SUV,Diesel,7,Putih,468000000,Surabaya,Jawa - Bali,AT
Suzuki,2017,122500,Ertiga,MPV,Petrol,7,Hitam,137000000,Mojokerto,Jawa - Bali,MT
Mitsubishi,2021,42500,Xpander Cross,MPV,Petrol,7,Abu-abu,240000000,Sidoarjo,Jawa - Bali,AT
Toyota,2018,62500,Alphard,MPV,Petrol,7,Hitam,775000000,Surabaya,Jawa - Bali,AT
Daihatsu,2022,12500,Gran Max,Pickup,Petrol,3,Hitam,138000000,Sidoarjo,Jawa - Bali,MT
Isuzu,2001,227500,Panther,SUV,Diesel,7,Biru,74000000,Sidoarjo,Jawa - Bali,MT
Honda,2011,137500,Jazz,Hatchback,Petrol,5,Putih,147000000,Sidoarjo,Jawa - Bali,AT
Isuzu,1995,117500,Panther,MPV,Diesel,7,Hijau,75000000,Surabaya,Jawa - Bali,MT
Toyota,2015,57500,Vellfire,MPV,Petrol,7,Hitam,560000000,Surabaya,Jawa - Bali,AT
Toyota,2013,92500,Fortuner,SUV,Diesel,7,Hitam,275000000,Surabaya,Jawa - Bali,AT
Toyota,2015,82500,Vellfire,MPV,Petrol,7,Putih,525000000,Surabaya,Jawa - Bali,AT
Honda,2013,92500,Jazz,Hatchback,Petrol,5,Abu-abu,156000000,Surabaya,Jawa - Bali,AT
Toyota,2011,162500,Kijang Innova,MPV,Petrol,8,Silver,130000000,Surabaya,Jawa - Bali,MT
Nissan,2013,132500,Grand Livina,MPV,Petrol,7,Putih,98000000,Surabaya,Jawa - Bali,MT
Suzuki,2022,67500,Ertiga,MPV,Hybrid,7,Hitam,210000000,Surabaya,Jawa - Bali,MT
Nissan,2013,137500,Grand Livina,MPV,Petrol,7,Abu-abu,87000000,Mojokerto,Jawa - Bali,AT
Mazda,2011,92500,8,MPV,Petrol,7,Hitam,139000000,Surabaya,Jawa - Bali,AT
Toyota,2012,207500,Kijang Innova,MPV,Petrol,8,Abu-abu,150000000,Sidoarjo,Jawa - Bali,MT
Toyota,2010,182500,Avanza,MPV,Petrol,7,Hitam,99000000,Surabaya,Jawa - Bali,MT
Nissan,2015,102500,Grand Livina,MPV,Petrol,7,Silver,113000000,Surabaya,Jawa - Bali,AT
Toyota,2024,2500,Alphard,MPV,Hybrid,7,Putih,1550000000,Surabaya,Jawa - Bali,AT
Hyundai,2022,47500,Creta,SUV,Petrol,5,Merah,280000000,Tangerang,Jabodetabek,AT
Mitsubishi,2019,82500,Pajero Sport,SUV,Diesel,7,Hitam,415000000,Surabaya,Jawa - Bali,AT
Suzuki,2023,27500,S-Presso,Hatchback,Petrol,4,Putih,126000000,Jakarta Selatan,Jabodetabek,AT
Mitsubishi,1999,177500,Lancer,Sedan,Petrol,5,Silver,69000000,Surabaya,Jawa - Bali,MT
Honda,2010,132500,Odyssey,MPV,Petrol,7,Hitam,159000000,Surabaya,Jawa - Bali,AT
Nissan,2010,177500,Serena,MPV,Petrol,7,Silver,97000000,Surabaya,Jawa - Bali,AT
Honda,1997,152500,Civic,Sedan,Petrol,5,Abu-abu,77000000,Mojokerto,Jawa - Bali,MT
Toyota,2017,67500,Sienta,MPV,Petrol,7,Coklat,138000000,Tangerang,Jabodetabek,MT
Daihatsu,2024,12500,Sigra,MPV,Petrol,7,Putih,109000000,Bogor,Jabodetabek,MT
Toyota,2025,7500,Calya,MPV,Petrol,7,Hitam,156000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2022,37500,Agya,Hatchback,Petrol,5,Silver,147000000,Bekasi,Jabodetabek,AT
Toyota,2018,67500,Vellfire,MPV,Petrol,7,Putih,657000000,Jakarta Selatan,Jabodetabek,AT
Daihatsu,2023,27500,Sigra,MPV,Petrol,7,Abu-abu,135000000,Surabaya,Jawa - Bali,MT
Toyota,2020,82500,Fortuner,SUV,Diesel,7,Hitam,435000000,Malang,Jawa - Bali,AT
Toyota,2016,87500,Alphard,MPV,Petrol,7,Hitam,527000000,Jakarta Timur,Jabodetabek,AT
Jeep,2023,2500,Wrangler,SUV,Petrol,4,Kuning,1775000000,Jakarta Selatan,Jabodetabek,AT
Daihatsu,2023,17500,Sigra,MPV,Petrol,7,Hitam,137000000,Jakarta Selatan,Jabodetabek,AT
Daihatsu,2023,7500,Sigra,MPV,Petrol,7,Silver,109000000,Jakarta Timur,Jabodetabek,MT
Honda,2014,112500,Odyssey,MPV,Petrol,7,Silver,190000000,Jakarta Timur,Jabodetabek,AT
Honda,2014,112500,Odyssey,MPV,Petrol,7,Silver,190000000,Jakarta Timur,Jabodetabek,AT
Honda,2014,112500,Odyssey,MPV,Petrol,7,Silver,190000000,Jakarta Timur,Jabodetabek,AT
Suzuki,2023,27500,Ertiga,MPV,Hybrid,7,Putih,207000000,Jakarta Timur,Jabodetabek,AT
Hyundai,2022,12500,Stargazer,MPV,Petrol,7,Putih,205000000,Jakarta Selatan,Jabodetabek,AT
Mazda,2014,67500,CX-5,SUV,Petrol,5,Putih,165000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2016,52500,Yaris,Hatchback,Petrol,5,Hitam,153000000,Jakarta Pusat,Jabodetabek,AT
Daihatsu,2023,17500,Sigra,MPV,Petrol,7,Hitam,125000000,Bogor,Jabodetabek,AT
Toyota,2022,37500,Kijang Innova Zenix,MPV,Petrol,7,Putih,495000000,Jakarta Selatan,Jabodetabek,AT
Mitsubishi,2020,47500,Xpander,MPV,Petrol,7,Putih,220000000,Bogor,Jabodetabek,AT
Suzuki,2023,42500,XL7,SUV,Petrol,7,Abu-abu,195000000,Tangerang,Jabodetabek,AT
Honda,2016,57500,HR-V,SUV,Petrol,5,Abu-abu,169000000,Jakarta Timur,Jabodetabek,AT
Honda,2020,42500,Civic,Hatchback,Petrol,5,Putih,375000000,Jakarta Barat,Jabodetabek,AT
Toyota,2020,32500,Fortuner,SUV,Diesel,7,Hitam,429000000,Jakarta Selatan,Jabodetabek,AT
Suzuki,2023,22500,S-Presso,Hatchback,Petrol,4,Merah,126000000,Bekasi,Jabodetabek,AT
Toyota,2022,52500,Veloz,MPV,Petrol,7,Hitam,223000000,Tangerang,Jabodetabek,AT
Nissan,2015,92500,X-Trail,SUV,Petrol,7,Hitam,155000000,Tangerang,Jabodetabek,AT
Daihatsu,2024,32500,Sigra,MPV,Petrol,7,Abu-abu,139000000,Jakarta Selatan,Jabodetabek,AT
Daihatsu,2024,12500,Sigra,MPV,Petrol,7,Putih,109000000,Bogor,Jabodetabek,MT
Hyundai,2021,47500,Staria,MPV,Diesel,7,Hitam,631000000,Jakarta Barat,Jabodetabek,AT
Hyundai,2021,47500,Staria,MPV,Diesel,7,Hitam,631000000,Jakarta Barat,Jabodetabek,AT
Hyundai,2021,47500,Staria,MPV,Diesel,7,Hitam,631000000,Jakarta Barat,Jabodetabek,AT
Toyota,2023,22500,Calya,MPV,Petrol,7,Silver,136000000,Jakarta Timur,Jabodetabek,MT
Toyota,2021,57500,Avanza,MPV,Petrol,7,Putih,149000000,Depok,Jabodetabek,AT
Toyota,2024,22500,Calya,MPV,Petrol,7,Hitam,148000000,Bogor,Jabodetabek,AT
BMW,2023,7500,M4,Coupe,Petrol,4,Kuning,2100000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2025,7500,Calya,MPV,Petrol,7,Hitam,156000000,Jakarta Selatan,Jabodetabek,AT
Honda,2015,67500,Jazz,Hatchback,Petrol,5,Putih,160000000,Jakarta Selatan,Jabodetabek,AT
Daihatsu,2023,17500,Sigra,MPV,Petrol,7,Hitam,137000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2023,12500,Calya,MPV,Petrol,7,Coklat,143000000,Depok,Jabodetabek,AT
Daihatsu,2022,47500,Ayla,Hatchback,Petrol,5,Merah,123000000,Bekasi,Jabodetabek,AT
Suzuki,2022,27500,XL7,SUV,Petrol,7,Hitam,198000000,Jakarta Utara,Jabodetabek,AT
Mitsubishi,2022,57500,Xpander,MPV,Petrol,7,Hitam,219000000,Jakarta Selatan,Jabodetabek,AT
Daihatsu,2023,7500,Sigra,MPV,Petrol,7,Silver,109000000,Bekasi,Jabodetabek,MT
Toyota,2013,92500,Vellfire,MPV,Petrol,7,Hitam,313000000,Jakarta Barat,Jabodetabek,AT
Daihatsu,2022,47500,Xenia,MPV,Petrol,7,Silver,179000000,Tangerang,Jabodetabek,AT
Daihatsu,2023,42500,Sigra,MPV,Petrol,7,Hitam,135000000,Tangerang,Jabodetabek,AT
Daihatsu,2023,17500,Sigra,MPV,Petrol,7,Hitam,125000000,Bekasi,Jabodetabek,AT
Nissan,2013,142500,Serena,MPV,Petrol,7,Silver,111000000,Jakarta Barat,Jabodetabek,AT
Suzuki,2023,42500,XL7,SUV,Petrol,7,Abu-abu,195000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2021,57500,Avanza,MPV,Petrol,7,Silver,155000000,Jakarta Timur,Jabodetabek,MT
Daihatsu,2024,7500,Sigra,MPV,Petrol,7,Merah,136000000,Tangerang,Jabodetabek,MT
Honda,2022,27500,Brio,Hatchback,Petrol,5,Abu-abu,158000000,Jakarta Timur,Jabodetabek,AT
Toyota,2020,67500,Avanza,MPV,Petrol,7,Hitam,158000000,Jakarta Barat,Jabodetabek,AT
Honda,2020,72500,CR-V,SUV,Petrol,5,Putih,370000000,Surabaya,Jawa - Bali,AT
Toyota,2020,72500,Kijang Innova,MPV,Diesel,8,Silver,365000000,Purwakarta,Jawa - Bali,AT
Toyota,2009,112500,Harrier,SUV,Petrol,5,Hitam,139000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2020,57000,Voxy,MPV,Petrol,7,Putih,330000000,Bekasi,Jabodetabek,AT
DFSK,2020,62500,Glory 560,SUV,Petrol,7,Hitam,160000000,Jakarta Timur,Jabodetabek,AT
Daihatsu,2023,37500,Sigra,MPV,Petrol,7,Hitam,120000000,Surabaya,Jawa - Bali,MT
Mitsubishi,2020,87500,Xpander,MPV,Petrol,7,Abu-abu,219000000,Gresik,Jawa - Bali,AT
Mercedes-Benz,2011,57500,CLS350,Coupe,Petrol,5,Hitam,349000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2011,57500,CLS350,Coupe,Petrol,5,Hitam,349000000,Jakarta Selatan,Jabodetabek,AT
BMW,2012,97500,X1,SUV,Petrol,5,Hitam,169000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2016,62500,Gls400,SUV,Petrol,7,Putih,649000000,Jakarta Selatan,Jabodetabek,AT
Mazda,2012,132500,CX-9,SUV,Petrol,7,Hitam,179000000,Jakarta Selatan,Jabodetabek,AT
MINI,2014,62500,Cooper,Hatchback,Petrol,4,Merah,339000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2009,142500,R280L,Wagon,Petrol,7,Hitam,179000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2010,62500,B180,Hatchback,Petrol,5,Hitam,119000000,Jakarta Selatan,Jabodetabek,AT
Land Rover,2014,42500,Range Rover Sport,SUV,Petrol,5,Putih,699000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2014,97500,GLA200,SUV,Petrol,5,Abu-abu,279000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2021,72500,Palisade,SUV,Diesel,7,Hitam,599000000,Jakarta Selatan,Jabodetabek,AT
BMW,2008,112500,X5,SUV,Petrol,5,Hitam,169000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2009,142500,E300,Sedan,Petrol,5,Hitam,199000000,Jakarta Selatan,Jabodetabek,AT
Honda,2008,132500,Accord,Sedan,Petrol,5,Hitam,109000000,Jakarta Selatan,Jabodetabek,AT
Lexus,2019,72500,RX 300,SUV,Petrol,5,Hitam,649000000,Jakarta Selatan,Jabodetabek,AT
Peugeot,2012,42500,RCZ,Coupe,Petrol,4,Putih,339000000,Jakarta Selatan,Jabodetabek,AT
Lexus,2012,72500,RX 270,SUV,Petrol,5,Silver,249000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2009,112500,R280L,Wagon,Petrol,7,Hitam,179000000,Jakarta Selatan,Jabodetabek,AT
Audi,2005,72500,A4,Sedan,Petrol,5,Abu-abu,89000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2009,97500,ML350,SUV,Petrol,5,Hitam,179000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2004,162500,S500 L,Sedan,Petrol,5,Hitam,139000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2023,52500,Veloz,MPV,Petrol,7,Hitam,223000000,Tangerang,Jabodetabek,AT
Nissan,2013,92500,Grand Livina,MPV,Petrol,7,Hitam,99000000,Tangerang,Jabodetabek,AT
Daihatsu,2023,17500,Sigra,MPV,Petrol,7,Silver,109000000,Tangerang,Jabodetabek,MT
Honda,2013,137000,CR-V,SUV,Petrol,5,Hitam,145000000,Tangerang,Jabodetabek,AT
Honda,2023,32500,BR-V,SUV,Petrol,7,Putih,222000000,Depok,Jabodetabek,AT
Daihatsu,2024,32500,Sigra,MPV,Petrol,7,Abu-abu,139000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2018,42500,Vios,Sedan,Petrol,5,Abu-abu,165000000,Jakarta Barat,Jabodetabek,AT
Toyota,2023,37500,Agya,Hatchback,Petrol,5,Putih,140000000,Jakarta Selatan,Jabodetabek,AT
Honda,2012,132500,Freed,MPV,Petrol,7,Abu-abu,118000000,Tangerang,Jabodetabek,AT
Toyota,2023,22500,Calya,MPV,Petrol,7,Silver,136000000,Depok,Jabodetabek,MT
Daihatsu,2024,37500,Sigra,MPV,Petrol,7,Silver,139000000,Jakarta Timur,Jabodetabek,AT
Toyota,2022,27500,Calya,MPV,Petrol,7,Hitam,138000000,Bogor,Jabodetabek,AT
Toyota,2024,27500,Agya,Hatchback,Petrol,5,Hitam,148000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2024,22500,Calya,MPV,Petrol,7,Hitam,148000000,Bogor,Jabodetabek,AT
Honda,2012,82500,Freed,MPV,Petrol,7,Merah,126000000,Tangerang,Jabodetabek,AT
Suzuki,2023,32500,Ertiga,MPV,Petrol,7,Putih,179000000,Tangerang,Jabodetabek,MT
Toyota,2023,12500,Calya,MPV,Petrol,7,Coklat,143000000,Jakarta Timur,Jabodetabek,AT
Daihatsu,2024,12500,Sigra,MPV,Petrol,7,Putih,141000000,Bekasi,Jabodetabek,AT
Honda,2017,52500,Civic,Sedan,Petrol,5,Hitam,310000000,Surabaya,Jawa - Bali,AT
Honda,2021,72500,Brio,Hatchback,Petrol,5,Hitam,130000000,Cikarang,Jawa - Bali,AT
Honda,2019,67500,Brio,Hatchback,Petrol,5,Silver,129000000,Jakarta Timur,Jabodetabek,AT
Mercedes-Benz,2022,7500,CLS350,Coupe,Petrol,5,Hitam,1150000000,Jakarta Selatan,Jabodetabek,AT
Suzuki,2021,52500,XL7,SUV,Petrol,7,Hitam,210000000,Surabaya,Jawa - Bali,AT
Toyota,2021,47500,Corolla Altis,Sedan,Petrol,5,Hitam,289000000,Jakarta Barat,Jabodetabek,AT
Honda,2018,72500,Brio,Hatchback,Petrol,5,Putih,135000000,Sidoarjo,Jawa - Bali,MT
Mercedes-Benz,2023,17500,GLC300,SUV,Petrol,7,Abu-abu,1075000000,Jakarta Selatan,Jabodetabek,AT
Land Rover,2011,72500,Range Rover Evoque,SUV,Petrol,5,Silver,299000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2022,37500,Stargazer,MPV,Petrol,7,Putih,208000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2017,82500,C200,Sedan,Petrol,5,Hitam,339000000,Jakarta Selatan,Jabodetabek,AT
Daihatsu,2022,42500,Rocky,SUV,Petrol,5,Putih,172000000,Tangerang,Jabodetabek,AT
Daihatsu,2022,47500,Ayla,Hatchback,Petrol,5,Merah,123000000,Bekasi,Jabodetabek,AT
Toyota,2023,42500,Veloz,MPV,Petrol,7,Silver,231000000,Depok,Jabodetabek,AT
Honda,2022,42500,BR-V,SUV,Petrol,7,Putih,211000000,Tangerang,Jabodetabek,AT
Daihatsu,2022,47500,Xenia,MPV,Petrol,7,Silver,179000000,Tangerang,Jabodetabek,AT
Toyota,2016,132500,Fortuner,SUV,Diesel,7,Hitam,335000000,Tangerang,Jabodetabek,AT
Toyota,2014,145000,Fortuner,SUV,Diesel,7,Hitam,230500000,Tangerang,Jabodetabek,AT
Honda,2022,40000,BR-V,SUV,Petrol,7,Hitam,200500000,Tangerang,Jabodetabek,AT
Suzuki,2019,60000,Karimun Wagon R,Hatchback,Petrol,5,Abu-abu,83000000,Tangerang,Jabodetabek,MT
Honda,2013,145000,Civic,Sedan,Petrol,5,Hitam,146500000,Tangerang,Jabodetabek,AT
Honda,2010,100000,Accord,Sedan,Petrol,5,Hitam,104500000,Tangerang,Jabodetabek,AT
Suzuki,2024,20000,XL7,SUV,Hybrid,7,Putih,212500000,Tangerang,Jabodetabek,AT
Toyota,2020,60000,Avanza,MPV,Petrol,7,Hitam,148500000,Tangerang,Jabodetabek,MT
Honda,2017,70000,CR-V,SUV,Petrol,5,Putih,224500000,Tangerang,Jabodetabek,AT
Honda,2020,50000,BR-V,SUV,Petrol,7,Putih,181500000,Tangerang,Jabodetabek,AT
Nissan,2020,68000,Livina,MPV,Petrol,7,Putih,172500000,Tangerang,Jabodetabek,AT
Mitsubishi,2021,40000,Xpander,MPV,Petrol,7,Hitam,197500000,Tangerang,Jabodetabek,AT
Toyota,2021,40000,Avanza,MPV,Petrol,7,Hitam,157500000,Tangerang,Jabodetabek,AT
Toyota,2023,30000,Kijang Innova,MPV,Diesel,8,Hitam,334500000,Tangerang,Jabodetabek,AT
Toyota,2021,70000,Fortuner,SUV,Diesel,7,Hitam,396500000,Tangerang,Jabodetabek,AT
Honda,2013,200000,Freed,MPV,Petrol,7,Putih,124500000,Tangerang,Jabodetabek,AT
Toyota,2020,50000,Kijang Innova,MPV,Diesel,8,Hitam,302500000,Tangerang,Jabodetabek,AT
Toyota,2022,11000,Veloz,MPV,Petrol,7,Hitam,211500000,Tangerang,Jabodetabek,AT
Toyota,2021,12000,Rush,SUV,Petrol,7,Hitam,209500000,Tangerang,Jabodetabek,AT
Honda,2014,112500,City,Sedan,Petrol,5,Abu-abu,137000000,Jakarta Selatan,Jabodetabek,AT
Daihatsu,2023,42500,Sigra,MPV,Petrol,7,Hitam,135000000,Tangerang,Jabodetabek,AT
Toyota,2023,27500,Veloz,MPV,Petrol,7,Hitam,234000000,Jakarta Timur,Jabodetabek,AT
Honda,2023,22500,Brio,Hatchback,Petrol,5,Putih,163000000,Depok,Jabodetabek,AT
Toyota,2016,157500,Agya,Hatchback,Petrol,5,Merah,80000000,Jakarta Barat,Jabodetabek,MT
Daihatsu,2024,7500,Sigra,MPV,Petrol,7,Merah,136000000,Depok,Jabodetabek,MT
Honda,2022,67500,Brio,Hatchback,Petrol,5,Abu-abu,158000000,Depok,Jabodetabek,AT
Hyundai,2018,72500,Santa Fe,SUV,Petrol,7,Putih,235000000,Jakarta Selatan,Jabodetabek,AT
Honda,2010,87500,CR-V,SUV,Petrol,5,Putih,116000000,Jakarta Timur,Jabodetabek,AT
Honda,2018,52500,Jazz,Hatchback,Petrol,5,Merah,215000000,Surabaya,Jawa - Bali,AT
Honda,2020,87000,HR-V,SUV,Petrol,5,Putih,225000000,Jakarta Timur,Jabodetabek,AT
Honda,2008,162500,CR-V,SUV,Petrol,5,Coklat,98000000,Jakarta Timur,Jabodetabek,AT
Honda,2022,32500,City,Hatchback,Petrol,5,Putih,240000000,Surabaya,Jawa - Bali,AT
Toyota,2013,37500,Kijang Innova,MPV,Diesel,8,Hitam,278000000,Jakarta Utara,Jabodetabek,AT
Suzuki,2022,12500,XL7,SUV,Petrol,7,Putih,219000000,Bandung,Jawa - Bali,AT
